1	0.275074	1.34521875	#N/A		0.3700347024
1	0.226422	1.5946375	#N/A		0.361061012
1	0.185607	1.89500625	0.162252		0.351726425
2	0.620952	1.07526875	#N/A		0.6676902809
2	0.724094	1.2084375	#N/A		0.8750223431
2	0.635105	1.5083875	0.0845956		0.9579844432
3	3.00964	1.04819375	#N/A		3.154685838
3	2.97871	1.28560625	#N/A		3.829448193
3	3.10472	1.51949375	0.137237		4.717602636
4	1.87703	1.0823875	#N/A		2.031673809
4	1.78166	1.34469375	#N/A		2.395787067
4	1.89923	1.54416875	0.125664		2.932731615
5	2.91366	1.27731875	#N/A		3.721672549
5	2.97803	1.50888125	#N/A		4.493493629
5	2.74759	1.96818125	0.116535		5.407755121
6	2.91451	1.24444375	#N/A		3.626943754
6	3.11708	1.380625	#N/A		4.303518575
6	3.18615	1.5831625	0.107877		5.044193199
7	1	1.086	#N/A		1.086
7	1	1.27981875	#N/A		1.27981875
7	1	1.54346875	0.147694		1.54346875
8	2.0523	1.07433125	#N/A		2.204850024
8	2.00029	1.26220625	#N/A		2.52477854
8	2.12583	1.43185	0.0943396		3.043869686
9	2.62113	1.137675	#N/A		2.981994073
9	3.02404	1.2323	#N/A		3.726524492
9	2.70517	1.56744375	0.0877068		4.240201809
10	0.20021	0.9351125	#N/A		0.1872188736
10	0.250091	1.1018875	#N/A		0.2755721468
10	0.262508	1.3028875	0.149198		0.3420183919
1	0.237684	1.68939375	#N/A		0.4015418641
1	0.247086	1.71964375	#N/A		0.4248998956
1	0.226821	2.19135	0.170213		0.4970441984
2	0.630318	1.14415	#N/A		0.7211783397
2	0.615212	1.38558125	#N/A		0.852426212
2	0.584546	1.568475	0.0727408		0.9168457874
					
1	2.86692	1.30009375	#N/A		3.727264774
1	3.31406	1.37926875	#N/A		4.570979394
1	3.02358	1.718175	0.0580706		5.195039567
2	1.53625	1.149025	#N/A		1.765189656
2	2.26886	1.066675	#N/A		2.420136241
2	1.88731	1.42643125	0.119694		2.692117962
3	4.26506	0.96144375	#N/A		4.10061528
3	3.75249	1.30648125	#N/A		4.902557826
3	3.99336	1.47073125	0.0595506		5.873159345
4	3.5862	1.03515625	#N/A		3.712277344
4	3.64204	1.20921875	#N/A		4.404023056
4	3.51062	1.4941	0.158981		5.245217342
5	1.34264	1.3277875	#N/A		1.782740609
5	1.32046	1.56673125	#N/A		2.068805946
5	1.17035	1.94244375	0.112115		2.273339043
6	1.74763	1.3012125	#N/A		2.274038001
6	1.85464	1.4737375	#N/A		2.733252517
6	1.93904	1.68591875	0.0717538		3.269063893
7	3.25406	1.13666875	#N/A		3.698788313
7	3.31578	1.30519375	#N/A		4.327735332
7	3.42915	1.4424625	0.155852		4.946420282
8	1.36724	1.03425	#N/A		1.41406797
8	1.31679	1.2322625	#N/A		1.622630937
8	1.27251	1.45590625	0.141222		1.852655262
10	1.49493	0.98824375	#N/A		1.477355229
10	1.46656	1.244175	#N/A		1.824657288
10	1.4333	1.51364375	0.0722586		2.169505587
1	3.08657	1.2158625	#N/A		3.752844717
1	4.03279	1.0749375	#N/A		4.334997201
1	3.23775	1.55048125	0.0973354		5.020070667
2	1.77393	1.03678125	#N/A		1.839177363
2	1.77691	1.236275	#N/A		2.19674941
2	1.73291	1.3962875	0.0826472		2.419640572
3	4.04464	0.97126875	#N/A		3.928432437
3	3.47937	1.3039125	#N/A		4.536794035
3	3.93466	1.37969375	0.0841066		5.42862581
					
1	3.08164	1.14625625	#N/A		3.53234911
1	2.98215	1.33678125	#N/A		3.986482205
1	3.14403	1.49969375	0.057228		4.715082141
2	3.10532	1.03218125	#N/A		3.205253079
2	3.04652	1.22036875	#N/A		3.717877804
2	3.1232	1.44559375	0.0819482		4.5148784
3	3.12701	1.22595	#N/A		3.83355791
3	3.09995	1.45133125	#N/A		4.499054308
3	3.31737	1.56684375	0.0855472		5.197800451
4	3.48838	1.395675	#N/A		4.868644757
4	3.25342	1.675525	#N/A		5.451186546
4	3.1508	2.06945625	0.13798		6.520442753
5	3.67367	1.64785625	#N/A		6.05368007
5	3.6212	1.9632875	#N/A		7.109456695
5	3.66096	2.2941	0.141184		8.398608336
6	1.16513	0.82813125	#N/A		0.9648805633
6	1.1794	0.92489375	#N/A		1.090819689
6	1.27265	1.02389375	0.0660754		1.303058381
7	3.79126	1.03006875	#N/A		3.905258449
7	3.84003	1.155325	#N/A		4.43648266
7	3.5531	1.44455	0.117107		5.132630605
8	2.03649	1.47750625	#N/A		3.008926703
8	1.97955	1.7422125	#N/A		3.448796754
8	1.9752	2.028425	0.113676		4.00654506
